name,longitude,latitude
Infarm - Bandung,107.6004,-6.93002
Infarm - Semarang 2,110.437547,-7.007623
Satoria Pharma - RS UGM Yogya,110.35001,-7.743495
Origin Trucking 50,106.853238,-6.226559
Origin Trucking 49,106.853238,-6.226559
Origin Trucking 48,106.853238,-6.226559
Origin Trucking 47,106.853238,-6.226559
Origin Trucking 46,106.853238,-6.226559
Origin Trucking 45,106.853238,-6.226559
Origin Trucking 44,106.853238,-6.226559
Origin Trucking 43,106.853238,-6.226559
Origin Trucking 42,106.853238,-6.226559
Origin Trucking 41,106.853238,-6.226559
Origin Trucking 40,106.853238,-6.226559
Origin Trucking 39,106.853238,-6.226559
Origin Trucking 38,106.853238,-6.226559
Origin Trucking 37,106.853238,-6.226559
Origin Trucking 36,106.853238,-6.226559
Origin Trucking 35,106.853238,-6.226559
Origin Trucking 34,106.853238,-6.226559
Origin Trucking 33,106.853238,-6.226559
Origin Trucking 32,106.853238,-6.226559
Origin Trucking 31,106.853238,-6.226559
Origin Trucking 30,106.853238,-6.226559
Origin Trucking 29,106.853238,-6.226559
Origin Trucking 28,106.853238,-6.226559
Origin Trucking 27,106.853238,-6.226559
Origin Trucking 26,106.853238,-6.226559
Origin Trucking 25,106.853238,-6.226559
Origin Trucking 24,106.853238,-6.226559
Origin Trucking 23,106.853238,-6.226559
Origin Trucking 22,106.853238,-6.226559
Origin Trucking 21,106.853238,-6.226559
Origin Trucking 20,106.853238,-6.226559
Origin Trucking 19,106.853238,-6.226559
Origin Trucking 18,106.853238,-6.226559
Origin Trucking 17,106.853238,-6.226559
Origin Trucking 16,106.853238,-6.226559
Origin Trucking 15,106.853238,-6.226559
Origin Trucking 14,106.853238,-6.226559
Origin Trucking 13,106.853238,-6.226559
Origin Trucking 12,106.853238,-6.226559
Origin Trucking 11,106.853238,-6.226559
Origin Trucking 10,106.853238,-6.226559
Origin Trucking 9,106.853238,-6.226559
Origin Trucking 8,106.853238,-6.226559
Origin Trucking 7,106.853238,-6.226559
Origin Trucking 6,106.853238,-6.226559
Origin Trucking 5,106.853238,-6.226559
PT BRILLIANT TC - Mantingan,106.853238,-6.226559
Virtus Venturama - Cipondah,106.687658,-6.194052
Dummy Trucking - Sunter,106.888397,-6.138778
Terrypalmerid - Jatiuwung,106.587671,-6.219991
Destination Trucking 51,106.685676,-6.102178
Destination Trucking 52,106.785219,-6.640131
Destination Trucking 53,106.779684,-6.623291
Destination Trucking 54,106.917725,-6.192665
Destination Trucking 55,112.742181,-7.460464
Destination Trucking 56,106.881355,-6.384587
Destination Trucking 57,106.868226,-6.376013
Destination Trucking 58,106.714852,-6.176327
Destination Trucking 59,106.684634,-6.201333
Destination Trucking 60,106.9098,-6.19029
Destination Trucking 61,112.730246,-7.39501
Destination Trucking 62,112.758733,-7.392612
Destination Trucking 63,106.776468,-6.156512
Destination Trucking 64,106.750009,-6.130874
Destination Trucking 65,106.735824,-6.121434
Destination Trucking 66,106.767144,-6.221542
Destination Trucking 67,106.732081,-6.196537
Destination Trucking 68,106.683834,-6.082697
Destination Trucking 69,106.677829,-6.076489
Destination Trucking 70,106.684185,-6.081773
Destination Trucking 71,106.679568,-6.083153
Destination Trucking 72,106.680558,-6.084224
Destination Trucking 73,106.873491,-6.247031
Destination Trucking 74,106.674568,-6.16957
Destination Trucking 75,106.843619,-6.134879
